modality_group_final,2015–2022,2023–2026 YTD,historical_share,recent_share,share_change_pp
Peptide-based,189,426,0.6136363636363636,0.6666666666666666,5.303030303030298
Small molecule,68,121,0.22077922077922077,0.18935837245696402,-3.142084832225675
Antibody / protein biologic,13,51,0.04220779220779221,0.07981220657276995,3.7604414364977745
Combination / mixed modality,37,30,0.12012987012987013,0.046948356807511735,-7.318151332235839
RNA / oligonucleotide,0,6,0.0,0.009389671361502348,0.9389671361502347
Unknown / unspecified,1,3,0.003246753246753247,0.004694835680751174,0.14480824339979267
Gut-restricted / other,0,2,0.0,0.003129890453834116,0.3129890453834116
